S.No.,Question,Difficulty,Answers
1865,What is 88 squared?,Medium,7744
1866,What is 33 * 46?,Medium,1518
1867,What is 9 + 12?,Hard,21
1868,What is the square root of 42?,Hard,Not a perfect square
1869,What is 29 * 25?,Hard,725
1870,What is 18 * 54?,Hard,972
1871,What is 27 + 17?,Medium,44
1872,What is 80 * 48?,Medium,3840
1873,What is 41 + 53?,Medium,94
1874,What is 69 - 95?,Hard,-26
1875,What is 79 - 100?,Hard,-21
1876,What is 88 * 12?,Medium,1056
1877,What is the square root of 11?,Hard,Not a perfect square
1878,What is 11 - 76?,Hard,-65
1879,What is 20 squared?,Hard,400
1880,What is 14 + 42?,Medium,56
1881,What is 91 - 34?,Hard,57
1882,What is 97 + 76?,Medium,173
1883,What is the square root of 3?,Medium,Not a perfect square
1884,What is 89 squared?,Medium,7921
1885,What is 77 + 32?,Easy,109
1886,What is 36 squared?,Easy,1296
1887,What is 40 - 69?,Easy,-29
1888,What is the square root of 35?,Hard,Not a perfect square
1889,What is 53 * 55?,Hard,2915
1890,What is 85 squared?,Easy,7225
1891,What is 31 - 90?,Easy,-59
1892,What is 36 - 50?,Easy,-14
1893,What is 71 + 75?,Easy,146
1894,What is the square root of 11?,Easy,Not a perfect square
1895,What is the square root of 1?,Medium,1
1896,What is 44 squared?,Hard,1936
1897,What is 24 * 55?,Medium,1320
1898,What is the square root of 81?,Medium,9
1899,What is 42 * 3?,Medium,126
1900,What is 13 - 65?,Medium,-52
1901,What is 5 - 13?,Easy,-8
1902,What is 75 + 49?,Hard,124
1903,What is 42 - 21?,Medium,21
1904,What is 12 squared?,Easy,144
1905,What is 39 - 90?,Hard,-51
1906,What is 68 + 23?,Medium,91
1907,What is 50 squared?,Medium,2500
1908,What is 44 * 79?,Hard,3476
1909,What is 45 squared?,Hard,2025
1910,What is the square root of 65?,Easy,Not a perfect square
1911,What is 91 squared?,Hard,8281
1912,What is 46 - 59?,Medium,-13
1913,What is 2 - 69?,Medium,-67
1914,What is 33 + 14?,Medium,47
1915,What is 61 + 83?,Medium,144
1916,What is the square root of 35?,Medium,Not a perfect square
1917,What is 13 - 83?,Easy,-70
1918,What is 55 squared?,Easy,3025
1919,What is the square root of 80?,Medium,Not a perfect square
1920,What is 86 + 81?,Hard,167
1921,What is 18 * 28?,Easy,504
1922,What is 58 - 12?,Hard,46
1923,What is 18 - 8?,Easy,10
1924,What is 14 * 60?,Medium,840
1925,What is 93 * 44?,Medium,4092
1926,What is the square root of 44?,Easy,Not a perfect square
1927,What is 36 - 26?,Medium,10
1928,What is 32 + 61?,Medium,93
1929,What is the square root of 65?,Medium,Not a perfect square
1930,What is 60 * 19?,Easy,1140
1931,What is 81 + 23?,Hard,104
1932,What is 38 * 60?,Easy,2280
1933,What is 33 + 56?,Medium,89
1934,What is 96 - 98?,Medium,-2
1935,What is 60 * 52?,Easy,3120
1936,What is the square root of 4?,Easy,2
1937,What is 90 + 99?,Easy,189
1938,What is 77 - 99?,Medium,-22
1939,What is 88 * 42?,Hard,3696
1940,What is the square root of 15?,Hard,Not a perfect square
1941,What is 47 * 91?,Easy,4277
1942,What is 59 - 22?,Medium,37
1943,What is the square root of 66?,Medium,Not a perfect square
1944,What is the square root of 96?,Medium,Not a perfect square
1945,What is 3 - 3?,Easy,0
1946,What is 64 squared?,Medium,4096
1947,What is 94 * 15?,Medium,1410
1948,What is 33 + 33?,Easy,66
1949,What is 41 squared?,Easy,1681
1950,What is 34 squared?,Hard,1156
1951,What is 34 + 44?,Easy,78
1952,What is 62 + 34?,Easy,96
1953,What is 10 - 24?,Hard,-14
1954,What is 96 * 80?,Medium,7680
1955,What is 69 - 26?,Easy,43
1956,What is 2 squared?,Easy,4
1957,What is 24 - 90?,Easy,-66
1958,What is 52 - 84?,Medium,-32
1959,What is 46 + 74?,Hard,120
1960,What is 89 - 83?,Hard,6
1961,What is 58 * 30?,Hard,1740
1962,What is 47 * 39?,Easy,1833
1963,What is 20 squared?,Medium,400
1964,What is 8 * 91?,Easy,728
1965,What is 20 * 77?,Medium,1540
1966,What is 11 + 17?,Hard,28
1967,What is 25 squared?,Hard,625
1968,What is 20 - 85?,Hard,-65
1969,What is 63 - 63?,Hard,0
1970,What is 74 squared?,Medium,5476
1971,What is 18 + 58?,Easy,76
1972,What is 46 * 16?,Hard,736
1973,What is the square root of 6?,Medium,Not a perfect square
1974,What is 27 - 65?,Hard,-38
1975,What is 93 squared?,Medium,8649
1976,What is the square root of 88?,Medium,Not a perfect square
1977,What is 87 - 63?,Hard,24
1978,What is the square root of 22?,Medium,Not a perfect square
1979,What is the square root of 82?,Hard,Not a perfect square
1980,What is 51 + 39?,Easy,90
1981,What is 52 * 25?,Medium,1300
1982,What is 83 - 55?,Easy,28
1983,What is the square root of 89?,Easy,Not a perfect square
1984,What is 71 squared?,Hard,5041
1985,What is 28 + 19?,Hard,47
1986,What is the square root of 2?,Easy,Not a perfect square
1987,What is 1 * 48?,Medium,48
1988,What is 65 squared?,Medium,4225
1989,What is 71 + 72?,Easy,143
1990,What is 87 + 20?,Hard,107
1991,What is 82 - 31?,Medium,51
1992,What is 62 - 43?,Easy,19
1993,What is the square root of 39?,Medium,Not a perfect square
1994,What is 15 squared?,Easy,225
1995,What is the square root of 55?,Easy,Not a perfect square
1996,What is 4 - 7?,Hard,-3
1997,What is 49 squared?,Hard,2401
1998,What is 31 - 73?,Medium,-42
1999,What is the square root of 86?,Hard,Not a perfect square
2000,What is 37 * 51?,Medium,1887
2001,What is 56 + 95?,Medium,151
2002,What is 83 squared?,Easy,6889
2003,What is 81 + 66?,Medium,147
2004,What is 25 - 16?,Hard,9
2005,What is 97 + 55?,Hard,152
2006,What is the square root of 25?,Hard,5
2007,What is the square root of 96?,Easy,Not a perfect square
2008,What is 38 * 67?,Hard,2546
2009,What is 4 - 100?,Hard,-96
2010,What is 47 + 36?,Medium,83
2011,What is the square root of 89?,Hard,Not a perfect square
2012,What is 86 squared?,Easy,7396
2013,What is 85 + 78?,Medium,163
2014,What is 56 * 58?,Easy,3248
2015,What is 60 + 75?,Easy,135
2016,What is the square root of 24?,Medium,Not a perfect square
2017,What is 90 * 34?,Hard,3060
2018,What is 55 + 33?,Easy,88
2019,What is 69 - 84?,Easy,-15
2020,What is 43 squared?,Hard,1849
2021,What is 87 + 6?,Easy,93
2022,What is 62 + 60?,Easy,122
2023,What is 52 squared?,Easy,2704
2024,What is 87 * 96?,Medium,8352
2025,What is the square root of 40?,Hard,Not a perfect square
2026,What is the square root of 90?,Hard,Not a perfect square
2027,What is 78 * 47?,Medium,3666
2028,What is 96 + 90?,Medium,186
2029,What is 76 - 64?,Hard,12
2030,What is 32 squared?,Easy,1024
2031,What is 55 * 11?,Medium,605
2032,What is 30 - 62?,Medium,-32
2033,What is 96 * 34?,Medium,3264
2034,What is the square root of 82?,Easy,Not a perfect square
2035,What is the square root of 84?,Hard,Not a perfect square
2036,What is 33 - 93?,Hard,-60
2037,What is 19 - 92?,Medium,-73
2038,What is 45 * 93?,Hard,4185
2039,What is 72 squared?,Easy,5184
2040,What is 68 squared?,Hard,4624
2041,What is the square root of 14?,Medium,Not a perfect square
2042,What is 73 - 55?,Hard,18
2043,What is 37 + 57?,Easy,94
2044,What is 30 + 82?,Easy,112
2045,What is 7 + 48?,Easy,55
2046,What is 99 - 7?,Medium,92
2047,What is the square root of 65?,Medium,Not a perfect square
2048,What is 84 squared?,Easy,7056
2049,What is 74 squared?,Medium,5476
2050,What is 50 * 40?,Medium,2000
2051,What is 10 + 14?,Easy,24
2052,What is 62 * 2?,Easy,124
2053,What is 24 * 47?,Medium,1128
2054,What is 98 - 38?,Hard,60
2055,What is 62 * 46?,Medium,2852
2056,What is 41 + 36?,Hard,77
2057,What is 21 squared?,Easy,441
2058,What is 9 squared?,Medium,81
2059,What is 54 + 66?,Easy,120
2060,What is 88 * 51?,Medium,4488
2061,What is 38 - 19?,Easy,19
2062,What is 59 squared?,Medium,3481
2063,What is 32 * 49?,Medium,1568
2064,What is 28 * 95?,Easy,2660
2065,What is 80 squared?,Hard,6400
2066,What is 67 - 83?,Hard,-16
2067,What is the square root of 84?,Hard,Not a perfect square
2068,What is 97 * 53?,Easy,5141
2069,What is 58 - 17?,Hard,41
2070,What is the square root of 2?,Hard,Not a perfect square
2071,What is the square root of 79?,Hard,Not a perfect square
2072,What is 47 squared?,Medium,2209
2073,What is 3 * 56?,Hard,168
2074,What is 36 * 62?,Hard,2232
2075,What is 56 + 68?,Hard,124
2076,What is 45 + 89?,Medium,134
2077,What is 33 squared?,Medium,1089
2078,What is 35 * 26?,Hard,910
2079,What is 11 * 43?,Hard,473
2080,What is the square root of 96?,Easy,Not a perfect square
2081,What is 41 + 87?,Medium,128
2082,What is 23 + 8?,Hard,31
2083,What is 34 + 85?,Hard,119
2084,What is 88 squared?,Hard,7744
2085,What is the square root of 55?,Medium,Not a perfect square
2086,What is 52 * 52?,Easy,2704
2087,What is 20 - 43?,Easy,-23
2088,What is 65 squared?,Easy,4225
2089,What is 25 + 44?,Hard,69
2090,What is 60 - 63?,Medium,-3
2091,What is 93 + 46?,Hard,139
2092,What is 65 - 10?,Easy,55
2093,What is 59 + 48?,Hard,107
2094,What is 100 - 11?,Hard,89
2095,What is 48 squared?,Medium,2304
2096,What is 92 * 15?,Medium,1380
2097,What is 69 squared?,Hard,4761
2098,What is 65 * 36?,Easy,2340
2099,What is 4 + 66?,Medium,70
2100,What is the square root of 98?,Medium,Not a perfect square
2101,What is the square root of 56?,Easy,Not a perfect square
2102,What is 75 squared?,Easy,5625
2103,What is 69 * 39?,Hard,2691
2104,What is 63 * 18?,Medium,1134
2105,What is 54 * 100?,Medium,5400
2106,What is 7 squared?,Easy,49
2107,What is the square root of 100?,Hard,10
2108,What is 64 * 67?,Easy,4288
2109,What is the square root of 3?,Easy,Not a perfect square
2110,What is 12 * 11?,Hard,132
2111,What is 37 + 14?,Easy,51
2112,What is 79 squared?,Easy,6241
2113,What is 43 squared?,Medium,1849
2114,What is 12 squared?,Medium,144
2115,What is 15 - 99?,Medium,-84
2116,What is 75 * 44?,Hard,3300
2117,What is 95 * 51?,Medium,4845
2118,What is 37 squared?,Hard,1369
2119,What is 71 squared?,Medium,5041
2120,What is 85 - 74?,Easy,11
2121,What is 19 + 93?,Easy,112
2122,What is 21 + 95?,Easy,116
2123,What is 9 * 34?,Medium,306
2124,What is 36 + 32?,Hard,68
2125,What is 77 * 79?,Easy,6083
2126,What is 52 - 13?,Hard,39
2127,What is 23 * 62?,Hard,1426
2128,What is 85 * 95?,Medium,8075
2129,What is the square root of 2?,Easy,Not a perfect square
2130,What is the square root of 18?,Easy,Not a perfect square
2131,What is 99 - 45?,Easy,54
2132,What is 22 - 74?,Medium,-52
2133,What is 5 * 89?,Easy,445
2134,What is 48 - 25?,Medium,23
2135,What is 8 - 93?,Easy,-85
2136,What is 22 - 10?,Hard,12
2137,What is the square root of 1?,Easy,1
2138,What is 11 * 67?,Medium,737
2139,What is 87 squared?,Easy,7569
2140,What is 20 squared?,Hard,400
2141,What is 21 * 53?,Medium,1113
2142,What is the square root of 67?,Easy,Not a perfect square
2143,What is 68 + 3?,Medium,71
2144,What is 94 - 60?,Medium,34
2145,What is 79 - 85?,Hard,-6
2146,What is the square root of 63?,Hard,Not a perfect square
2147,What is the square root of 32?,Medium,Not a perfect square
2148,What is 82 * 13?,Hard,1066
2149,What is 18 squared?,Hard,324
2150,What is the square root of 98?,Medium,Not a perfect square
2151,What is 25 squared?,Easy,625
2152,What is 97 squared?,Hard,9409
2153,What is 98 squared?,Easy,9604
2154,What is the square root of 38?,Hard,Not a perfect square
2155,What is 99 * 89?,Hard,8811
2156,What is the square root of 29?,Hard,Not a perfect square
2157,What is the square root of 57?,Easy,Not a perfect square
2158,What is 60 + 77?,Easy,137
2159,What is 72 - 35?,Hard,37
2160,What is 9 squared?,Hard,81
2161,What is 18 - 88?,Easy,-70
2162,What is 51 + 50?,Hard,101
2163,What is 16 squared?,Easy,256
2164,What is 63 - 78?,Hard,-15
2165,What is 32 squared?,Easy,1024
2166,What is the square root of 8?,Easy,Not a perfect square
2167,What is the square root of 53?,Medium,Not a perfect square
2168,What is the square root of 29?,Easy,Not a perfect square
2169,What is 7 - 82?,Medium,-75
2170,What is 34 squared?,Medium,1156
2171,What is the square root of 19?,Medium,Not a perfect square
2172,What is 100 - 91?,Easy,9
2173,What is 75 * 89?,Hard,6675
2174,What is 44 + 35?,Medium,79
2175,What is 44 - 38?,Easy,6
2176,What is 43 - 97?,Hard,-54
2177,What is 2 * 18?,Hard,36
2178,What is the square root of 4?,Medium,2
2179,What is 74 squared?,Hard,5476
2180,What is 50 squared?,Medium,2500
2181,What is 51 + 15?,Hard,66
2182,What is 87 - 90?,Easy,-3
2183,What is 78 + 12?,Hard,90
2184,What is 82 * 24?,Medium,1968
2185,What is 32 - 21?,Easy,11
2186,What is 63 + 38?,Easy,101
2187,What is 53 - 22?,Hard,31
2188,What is 9 squared?,Medium,81
2189,What is 61 + 74?,Easy,135
2190,What is 20 squared?,Hard,400
2191,What is 97 squared?,Medium,9409
2192,What is 55 squared?,Medium,3025
2193,What is 64 * 52?,Medium,3328
2194,What is 71 squared?,Easy,5041
2195,What is the square root of 70?,Easy,Not a perfect square
2196,What is 65 * 94?,Easy,6110
2197,What is 73 * 6?,Medium,438
2198,What is 100 - 71?,Hard,29
2199,What is 66 - 53?,Hard,13
2200,What is 28 + 19?,Easy,47
2201,What is the square root of 54?,Easy,Not a perfect square
2202,What is 75 + 24?,Easy,99
2203,What is the square root of 51?,Hard,Not a perfect square
2204,What is 19 - 34?,Hard,-15
2205,What is 71 - 98?,Hard,-27
2206,What is 10 * 69?,Easy,690
2207,What is 86 * 51?,Hard,4386
2208,What is the square root of 20?,Medium,Not a perfect square
2209,What is 46 squared?,Easy,2116
2210,What is 18 squared?,Hard,324
2211,What is the square root of 87?,Hard,Not a perfect square
2212,What is 38 * 1?,Medium,38
2213,What is the square root of 71?,Hard,Not a perfect square
2214,What is 46 + 3?,Hard,49
2215,What is the square root of 36?,Easy,6
2216,What is 24 * 59?,Easy,1416
2217,What is 91 * 12?,Hard,1092
2218,What is 65 + 55?,Hard,120
2219,What is 76 + 19?,Easy,95
2220,What is 39 * 53?,Easy,2067
2221,What is 7 squared?,Medium,49
2222,What is 11 squared?,Hard,121
2223,What is the square root of 69?,Medium,Not a perfect square
2224,What is 11 - 62?,Hard,-51
2225,What is 83 + 11?,Hard,94
2226,What is the square root of 98?,Medium,Not a perfect square
2227,What is 46 squared?,Hard,2116
2228,What is the square root of 96?,Easy,Not a perfect square
2229,What is 80 - 2?,Hard,78
2230,What is 42 * 53?,Medium,2226
2231,What is the square root of 75?,Medium,Not a perfect square
2232,What is 84 + 19?,Medium,103
2233,What is 30 squared?,Hard,900
2234,What is 18 squared?,Medium,324
2235,What is 16 - 1?,Hard,15
2236,What is 51 - 100?,Hard,-49
2237,What is 90 * 39?,Medium,3510
2238,What is the square root of 80?,Easy,Not a perfect square
2239,What is 90 * 25?,Medium,2250
2240,What is 27 + 45?,Easy,72
2241,What is 91 - 100?,Medium,-9
2242,What is 58 squared?,Easy,3364
2243,What is 48 squared?,Easy,2304
2244,What is 47 squared?,Hard,2209
2245,What is the square root of 2?,Easy,Not a perfect square
2246,What is 85 squared?,Easy,7225
2247,What is 99 - 13?,Easy,86
2248,What is the square root of 70?,Hard,Not a perfect square
2249,What is the square root of 43?,Easy,Not a perfect square
2250,What is 29 * 57?,Easy,1653
2251,What is 22 squared?,Easy,484
2252,What is 90 + 71?,Hard,161
2253,What is 24 + 43?,Medium,67
2254,What is 69 + 79?,Hard,148
2255,What is 72 + 23?,Easy,95
2256,What is the square root of 94?,Easy,Not a perfect square
2257,What is the square root of 51?,Hard,Not a perfect square
2258,What is the square root of 28?,Hard,Not a perfect square
2259,What is 19 squared?,Hard,361
2260,What is the square root of 96?,Easy,Not a perfect square
2261,What is 40 + 77?,Hard,117
2262,What is 51 + 77?,Hard,128
2263,What is 18 + 58?,Medium,76
2264,What is 82 squared?,Easy,6724
2265,What is 8 * 69?,Easy,552
2266,What is the square root of 46?,Hard,Not a perfect square
2267,What is the square root of 42?,Medium,Not a perfect square
2268,What is 69 - 58?,Medium,11
2269,What is 91 squared?,Medium,8281
2270,What is 6 squared?,Hard,36
2271,What is 45 * 9?,Medium,405
2272,What is 32 * 18?,Medium,576
2273,What is the square root of 94?,Medium,Not a perfect square
2274,What is the square root of 12?,Easy,Not a perfect square
2275,What is 84 + 26?,Hard,110
2276,What is the square root of 61?,Hard,Not a perfect square
2277,What is 32 squared?,Medium,1024
2278,What is 85 + 73?,Easy,158
2279,What is 77 squared?,Easy,5929
2280,What is 85 - 86?,Medium,-1
2281,What is the square root of 34?,Hard,Not a perfect square
2282,What is the square root of 44?,Medium,Not a perfect square
2283,What is 47 * 35?,Hard,1645
2284,What is 6 + 10?,Medium,16
2285,What is 63 - 61?,Hard,2
2286,What is 32 squared?,Hard,1024
2287,What is the square root of 86?,Medium,Not a perfect square
2288,What is 26 + 83?,Easy,109
2289,What is 94 - 5?,Medium,89
2290,What is 27 + 56?,Medium,83
2291,What is the square root of 85?,Easy,Not a perfect square
2292,What is 26 * 26?,Easy,676
2293,What is 94 + 34?,Medium,128
2294,What is 56 - 82?,Easy,-26
2295,What is 65 squared?,Hard,4225
2296,What is 7 * 31?,Hard,217
2297,What is the square root of 53?,Medium,Not a perfect square
2298,What is the square root of 65?,Easy,Not a perfect square
2299,What is 26 * 30?,Medium,780
2300,What is 4 - 63?,Easy,-59
2301,What is the square root of 54?,Hard,Not a perfect square
2302,What is 27 + 23?,Easy,50
2303,What is 4 - 31?,Hard,-27
2304,What is 54 squared?,Hard,2916
2305,What is 95 - 90?,Hard,5
2306,What is 88 + 49?,Easy,137
2307,What is the square root of 53?,Hard,Not a perfect square
2308,What is the square root of 48?,Easy,Not a perfect square
2309,What is 37 - 43?,Medium,-6
2310,What is 95 * 84?,Medium,7980
2311,What is 42 + 75?,Hard,117
2312,What is 27 - 71?,Hard,-44
2313,What is 74 + 61?,Medium,135
2314,What is 73 squared?,Easy,5329
2315,What is 53 + 68?,Easy,121
2316,What is 99 + 10?,Easy,109
2317,What is 11 squared?,Medium,121
2318,What is 63 + 16?,Hard,79
2319,What is 31 * 11?,Hard,341
2320,What is 64 + 89?,Hard,153
2321,What is 60 squared?,Hard,3600
2322,What is 100 squared?,Hard,10000
2323,What is 21 * 80?,Easy,1680
2324,What is 68 + 45?,Medium,113
2325,What is the square root of 29?,Easy,Not a perfect square
2326,What is the square root of 43?,Medium,Not a perfect square
2327,What is 15 - 17?,Easy,-2
2328,What is 61 + 57?,Medium,118
2329,What is 80 - 63?,Hard,17
2330,What is 2 squared?,Medium,4
2331,What is 91 - 67?,Medium,24
2332,What is 71 squared?,Easy,5041
2333,What is 63 - 69?,Medium,-6
2334,What is the square root of 85?,Easy,Not a perfect square
2335,What is 64 + 66?,Easy,130
2336,What is 99 * 44?,Hard,4356
2337,What is 63 + 48?,Easy,111
2338,What is 21 - 10?,Easy,11
2339,What is 92 - 43?,Easy,49
2340,What is the square root of 20?,Medium,Not a perfect square
2341,What is 96 squared?,Hard,9216
2342,What is 52 * 80?,Easy,4160
2343,What is the square root of 89?,Medium,Not a perfect square
2344,What is 84 + 40?,Medium,124
2345,What is 87 squared?,Easy,7569
2346,What is 2 * 75?,Easy,150
2347,What is the square root of 24?,Easy,Not a perfect square
2348,What is the square root of 21?,Easy,Not a perfect square
2349,What is 42 * 77?,Hard,3234
2350,What is 46 * 47?,Medium,2162
2351,What is 83 squared?,Easy,6889
2352,What is the square root of 56?,Easy,Not a perfect square
2353,What is 55 squared?,Easy,3025
2354,What is 34 + 78?,Hard,112
2355,What is 13 squared?,Easy,169
2356,What is 99 - 43?,Easy,56
2357,What is 87 + 65?,Easy,152
2358,What is 72 squared?,Easy,5184
2359,What is 49 + 59?,Hard,108
2360,What is 16 squared?,Hard,256
2361,What is 100 - 17?,Hard,83
2362,What is 57 squared?,Easy,3249
2363,What is 2 + 6?,Hard,8
2364,What is 21 squared?,Medium,441
2365,What is 70 * 31?,Easy,2170
2366,What is 19 * 36?,Medium,684
2367,What is 73 * 87?,Easy,6351
2368,What is 15 squared?,Medium,225
2369,What is 79 + 35?,Hard,114
2370,What is 77 * 33?,Medium,2541
2371,What is 87 squared?,Medium,7569
2372,What is 89 * 68?,Hard,6052
2373,What is the square root of 54?,Easy,Not a perfect square
2374,What is 97 - 88?,Easy,9
2375,What is 61 squared?,Hard,3721
2376,What is 65 * 45?,Medium,2925
2377,What is 15 * 21?,Easy,315
2378,What is 30 + 28?,Easy,58
2379,What is 66 squared?,Medium,4356
2380,What is 55 squared?,Medium,3025
2381,What is 43 * 80?,Easy,3440
2382,What is 4 + 96?,Hard,100
2383,What is 89 + 12?,Easy,101
2384,What is 27 squared?,Easy,729
2385,What is 38 squared?,Easy,1444
2386,What is 56 squared?,Medium,3136
2387,What is 96 squared?,Easy,9216
2388,What is 28 + 63?,Medium,91
2389,What is 92 squared?,Easy,8464
2390,What is 29 + 66?,Hard,95
2391,What is the square root of 9?,Easy,3
2392,What is 70 + 39?,Hard,109
2393,What is the square root of 9?,Medium,3
2394,What is 49 + 77?,Easy,126
2395,What is the square root of 90?,Hard,Not a perfect square
2396,What is 33 + 6?,Easy,39
2397,What is 39 + 74?,Medium,113
2398,What is 50 - 3?,Hard,47
2399,What is 95 + 79?,Easy,174
2400,What is 54 + 6?,Medium,60
2401,What is 56 * 59?,Hard,3304
2402,What is 78 * 50?,Hard,3900
2403,What is 15 + 90?,Hard,105
2404,What is 87 - 98?,Easy,-11
2405,What is 70 squared?,Easy,4900
2406,What is 97 squared?,Medium,9409
2407,What is the square root of 60?,Easy,Not a perfect square
2408,What is 62 squared?,Medium,3844
2409,What is 93 * 24?,Hard,2232
2410,What is the square root of 19?,Hard,Not a perfect square
2411,What is 31 + 65?,Hard,96
2412,What is the square root of 96?,Medium,Not a perfect square
2413,What is 29 squared?,Medium,841
2414,What is 54 - 14?,Easy,40
2415,What is 30 - 57?,Easy,-27
2416,What is 38 - 22?,Easy,16
2417,What is 100 * 12?,Medium,1200
2418,What is 54 * 52?,Easy,2808
2419,What is the square root of 39?,Medium,Not a perfect square
2420,What is 45 - 96?,Medium,-51
2421,What is the square root of 46?,Medium,Not a perfect square
2422,What is 34 * 2?,Medium,68
2423,What is 77 squared?,Hard,5929
2424,What is the square root of 29?,Easy,Not a perfect square
2425,What is the square root of 38?,Medium,Not a perfect square
2426,What is the square root of 2?,Medium,Not a perfect square
2427,What is 15 squared?,Easy,225
2428,What is 74 - 86?,Easy,-12
2429,What is 13 - 49?,Medium,-36
2430,What is 4 - 93?,Hard,-89
2431,What is 10 squared?,Hard,100
2432,What is 93 * 38?,Medium,3534
2433,What is the square root of 54?,Easy,Not a perfect square
2434,What is 99 * 41?,Medium,4059
2435,What is 77 - 94?,Hard,-17
2436,What is 47 squared?,Easy,2209
2437,What is 10 + 68?,Medium,78
2438,What is 97 * 94?,Easy,9118
2439,What is 26 + 47?,Hard,73
2440,What is 82 - 24?,Hard,58
2441,What is 41 - 31?,Easy,10
2442,What is 78 squared?,Easy,6084
2443,What is 83 squared?,Hard,6889
2444,What is the square root of 11?,Easy,Not a perfect square
2445,What is 85 + 34?,Easy,119
2446,What is 18 - 46?,Hard,-28
2447,What is 13 - 36?,Hard,-23
2448,What is the square root of 73?,Medium,Not a perfect square
2449,What is 75 - 18?,Hard,57
2450,What is 15 squared?,Hard,225
2451,What is 50 * 48?,Medium,2400
2452,What is 15 + 71?,Medium,86
2453,What is 58 - 71?,Easy,-13
2454,What is 40 - 22?,Hard,18
2455,What is 21 * 55?,Medium,1155
2456,What is 99 - 68?,Hard,31
2457,What is the square root of 84?,Medium,Not a perfect square
2458,What is 35 squared?,Hard,1225
2459,What is 39 squared?,Hard,1521
2460,What is 22 squared?,Hard,484
2461,What is 1 * 21?,Medium,21
2462,What is 38 + 97?,Easy,135
2463,What is the square root of 20?,Hard,Not a perfect square
2464,What is 91 * 86?,Easy,7826
2465,What is the square root of 69?,Easy,Not a perfect square
2466,What is 45 squared?,Easy,2025
2467,What is 2 - 54?,Easy,-52
2468,What is 41 squared?,Easy,1681
2469,What is 34 - 26?,Easy,8
2470,What is 59 * 71?,Easy,4189
2471,What is 96 * 1?,Easy,96
2472,What is 37 - 66?,Medium,-29
2473,What is 63 - 41?,Hard,22
2474,What is 50 squared?,Easy,2500
2475,What is the square root of 55?,Medium,Not a perfect square
2476,What is 82 * 19?,Easy,1558
2477,What is 78 - 50?,Hard,28
2478,What is 73 squared?,Medium,5329
2479,What is 97 - 47?,Medium,50
2480,What is the square root of 38?,Easy,Not a perfect square
2481,What is 77 * 41?,Hard,3157
2482,What is the square root of 76?,Medium,Not a perfect square
2483,What is 87 * 62?,Hard,5394
2484,What is the square root of 43?,Medium,Not a perfect square
2485,What is 97 * 29?,Easy,2813
2486,What is 11 - 37?,Medium,-26
2487,What is 24 * 53?,Medium,1272
2488,What is 97 - 22?,Easy,75
2489,What is the square root of 91?,Hard,Not a perfect square
2490,What is 66 squared?,Hard,4356
2491,What is 98 + 76?,Medium,174
2492,What is 67 + 100?,Medium,167
2493,What is 15 squared?,Hard,225
2494,What is 57 squared?,Medium,3249
2495,What is the square root of 3?,Hard,Not a perfect square
2496,What is the square root of 3?,Easy,Not a perfect square
2497,What is 51 squared?,Easy,2601
2498,What is 27 + 38?,Medium,65
2499,What is 94 squared?,Medium,8836
2500,What is 52 - 89?,Easy,-37
2501,What is 42 - 69?,Easy,-27
2502,What is the square root of 100?,Medium,10
2503,What is 70 * 34?,Hard,2380
2504,What is 65 squared?,Hard,4225
2505,What is 59 * 26?,Hard,1534
2506,What is 94 + 82?,Hard,176
2507,What is the square root of 47?,Hard,Not a perfect square
2508,What is the square root of 49?,Hard,7
2509,What is 55 + 37?,Easy,92
2510,What is 31 * 42?,Hard,1302
2511,What is 30 - 6?,Easy,24
2512,What is 60 + 89?,Medium,149
2513,What is 8 squared?,Hard,64
2514,What is 16 squared?,Easy,256
2515,What is 36 * 80?,Easy,2880
2516,What is 23 * 16?,Medium,368
2517,What is 69 * 15?,Easy,1035
2518,What is 88 + 53?,Medium,141
2519,What is 10 + 57?,Medium,67
2520,What is the square root of 60?,Medium,Not a perfect square
2521,What is 50 * 59?,Easy,2950
2522,What is 19 + 63?,Easy,82
2523,What is 60 squared?,Medium,3600
2524,What is 66 - 83?,Easy,-17
2525,What is 80 + 5?,Medium,85
2526,What is the square root of 53?,Easy,Not a perfect square
2527,What is the square root of 46?,Easy,Not a perfect square
2528,What is 36 - 1?,Easy,35
2529,What is 81 + 38?,Easy,119
2530,What is 36 * 25?,Medium,900
2531,What is 47 * 41?,Easy,1927
2532,What is 5 squared?,Easy,25
2533,What is 53 + 27?,Easy,80
2534,What is 98 - 33?,Easy,65
2535,What is 13 - 37?,Hard,-24
2536,What is the square root of 40?,Easy,Not a perfect square
2537,What is 50 - 5?,Hard,45
2538,What is 9 * 78?,Hard,702
2539,What is 73 squared?,Hard,5329
2540,What is the square root of 27?,Easy,Not a perfect square
2541,What is the square root of 1?,Hard,1
2542,What is 84 * 20?,Medium,1680
2543,What is 61 + 62?,Easy,123
2544,What is 23 + 7?,Medium,30
2545,What is 22 + 84?,Medium,106
2546,What is 66 squared?,Hard,4356
2547,What is 9 - 2?,Easy,7
2548,What is 1 * 94?,Medium,94
2549,What is the square root of 79?,Easy,Not a perfect square
2550,What is 18 - 74?,Easy,-56
2551,What is 66 * 14?,Easy,924
2552,What is 45 + 98?,Hard,143
2553,What is 91 - 29?,Hard,62
2554,What is the square root of 29?,Hard,Not a perfect square
